baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Name
0.010313982,-0.242965883,2.902432623,-0.083711119,0.933286116,0.999729606,ACTRT1
0.026560373,-0.210638323,2.902427826,-0.072573148,0.942145795,0.999729606,ACTRT2
207.5459352,-0.059123822,0.043106958,-1.371560996,0.170200143,0.999729606,ACVR1
457.4293094,0.024343501,0.07130728,0.341388723,0.732810964,0.999729606,ACVR1B
47.58758764,0.18032399,0.123299014,1.462493367,0.143606061,0.999729606,ACVR1C
141.9308109,0.144140861,0.057473089,2.507971342,0.012142651,0.991286409,ACVR2A
123.1193888,0.127801398,0.080892342,1.57989489,0.11413094,0.999729606,ACVR2B
27.0491464,-0.182069795,0.11047441,-1.648072124,0.099337872,0.999729606,ACVRL1
9.141230312,0.160748353,0.112485873,1.429053697,0.152988801,0.999729606,ACY1
12.9377833,0.066102472,0.128607194,0.513987361,0.607260827,0.999729606,ACY3
40.09443695,0.131804658,0.078598963,1.676926164,0.093556921,0.999729606,ACYP1
62.42223886,-0.139057385,0.084883862,-1.63820757,0.101378401,0.999729606,ACYP2
452.450616,0.042859572,0.052672061,0.813705998,0.415813397,0.999729606,ADA
0.055274447,-0.314098936,2.436604192,-0.128908477,0.897430069,0.999729606,ADAD1
1.399599785,0.089772794,0.248000403,0.361986484,0.717362131,0.999729606,ADAD2
54.88744193,0.113450755,0.053685497,2.113247749,0.034579568,0.999729606,ADAL
114.5165726,0.070345869,0.065633748,1.071794175,0.28381249,0.999729606,ADAM1
1866.402905,-0.008764712,0.065781844,-0.133239081,0.894004304,0.999729606,ADAM10
14.55107966,0.215772464,0.09732782,2.216965954,0.026625418,0.999729606,ADAM11
16.692058,0.05296853,0.148542903,0.356587417,0.721400699,0.999729606,ADAM12
1051.77874,0.043780568,0.060086502,0.728625665,0.466230675,0.999729606,ADAM15
564.0890177,0.032483706,0.050178572,0.647362114,0.51739761,0.999729606,ADAM17
0.112361405,-0.391370732,2.047762343,-0.191121169,0.848430663,0.999729606,ADAM18
2623.043635,-0.019510733,0.082526365,-0.236418181,0.81310819,0.999729606,ADAM19
0.085736004,0.236230896,2.103788671,0.11228832,0.910594802,0.999729606,ADAM2
2.826379081,-0.210121753,0.186202934,-1.12845565,0.259127537,0.999729606,ADAM20
1.155012744,0.457016405,0.259349455,1.76216451,0.078041506,0.999729606,ADAM21
0.21928068,-0.271386483,0.747462079,-0.363077259,0.716547172,0.999729606,ADAM21P1
69.46344095,0.132401739,0.072743181,1.820125783,0.068739852,0.999729606,ADAM22
23.02172124,0.152478591,0.135145201,1.128257535,0.259211172,0.999729606,ADAM23
268.3829653,0.082532864,0.06328644,1.304116089,0.192194004,0.999729606,ADAM28
1.066714415,0.312722914,0.457983083,0.682826343,0.494716581,0.999729606,ADAM29
0.203908584,-0.21619462,1.257666438,-0.171901399,0.863515047,0.999729606,ADAM30
0.245306017,0.576609289,0.664768666,0.867383375,0.385731988,0.999729606,ADAM32
2.140486058,0.327789089,0.21776217,1.505261864,0.132256766,0.999729606,ADAM33
0,,,,,,ADAM3A
0,0,0,0,1,,ADAM5P
0.084584134,0.166710362,1.935395139,0.086137636,0.931357006,0.999729606,ADAM6
0.052170534,-0.487746439,1.849125342,-0.263771432,0.791956049,0.999729606,ADAM7
11291.59237,-0.015522498,0.060264302,-0.257573676,0.796735948,0.999729606,ADAM8
270.795362,0.005140057,0.074956167,0.068574172,0.945328578,0.999729606,ADAM9
7.622575437,0.107663023,0.126658222,0.850027902,0.395309574,0.999729606,ADAMDEC1
63.47376577,0.083110947,0.115630658,0.718762209,0.472287446,0.999729606,ADAMTS1
575.9224967,0.077557071,0.082841179,0.936213985,0.349163024,0.999729606,ADAMTS10
0.271973207,-0.667235026,0.801139583,-0.832857394,0.404925161,0.999729606,ADAMTS12
46.31376838,0.103219337,0.082150788,1.25646192,0.208948544,0.999729606,ADAMTS13
6.047090425,-0.027658738,0.147145277,-0.187968915,0.850901019,0.999729606,ADAMTS14
0.238952034,-0.582697727,0.693228581,-0.84055641,0.400596487,0.999729606,ADAMTS15
1.287066557,-0.178725699,0.264514662,-0.675674072,0.499247601,0.999729606,ADAMTS16
42.14604193,0.042173643,0.085962313,0.490606187,0.62370501,0.999729606,ADAMTS17
0.178892368,-0.195598677,1.176372617,-0.166272722,0.867942332,0.999729606,ADAMTS18
0.115662792,0.129579114,1.632236562,0.07938746,0.936724443,0.999729606,ADAMTS19
2.637108476,-0.373226518,0.284619901,-1.311315603,0.189751159,0.999729606,ADAMTS2
0.079733285,-0.455491077,2.332987655,-0.195239386,0.845205547,0.999729606,ADAMTS20
0.530044581,0.400887622,0.497693163,0.805491519,0.420536098,0.999729606,ADAMTS3
26.24180857,0.053356025,0.085754642,0.622194013,0.533814302,0.999729606,ADAMTS4
23.88760228,-0.053835995,0.134417205,-0.400514165,0.688777853,0.999729606,ADAMTS5
16.17124262,-0.053112785,0.118325798,-0.44886902,0.653526145,0.999729606,ADAMTS6
1.333951724,-0.165742287,0.330741427,-0.501123458,0.616284239,0.999729606,ADAMTS7
4.536774354,0.079247789,0.151271381,0.523878272,0.600363208,0.999729606,ADAMTS8
0.177990817,-0.328454342,1.008532589,-0.325675486,0.744669893,0.999729606,ADAMTS9
0.052049441,-0.038920872,2.021988445,-0.01924881,0.98464262,0.999729606,ADAMTS9-AS2
0.228935039,-0.539284322,1.039322301,-0.518880738,0.603843911,0.999729606,ADAMTSL1
9.101671796,0.159704014,0.180175187,0.886381844,0.375411799,0.999729606,ADAMTSL2
0.294606725,0.320581107,0.808710316,0.396410309,0.691802362,0.999729606,ADAMTSL3
1390.209501,-0.037493748,0.083269241,-0.450271279,0.652514846,0.999729606,ADAMTSL4
56.39755311,0.064318653,0.078251665,0.821946134,0.411107555,0.999729606,ADAMTSL5
2010.356086,-0.023631783,0.063669414,-0.371163811,0.710515525,0.999729606,ADAP1
315.7432176,0.052418236,0.062283274,0.841610166,0.400006197,0.999729606,ADAP2
13394.60201,-0.136881792,0.070762322,-1.934388089,0.05306543,0.999729606,ADAR
